Pais;Marca;Modelo;Precio;Kilometros;Automatico/Manual;Fabricacion;Combustible;Potencia
D;mazda;cx-5;32980.0;13809;Automatico;jun-24;Gasolina;121 kW (165 CV)
B;ford;fiesta;18980.0;10;Manual;oct-22;Gasolina;74 kW (101 CV)
D;hyundai;i20;22410.0;5;Automatico;sep-24;Gasolina;74 kW (101 CV)
D;chevrolet;camaro;39999.0;31000;Automatico;ago-20;Gasolina;339 kW (461 CV)
D;ford;kuga;24480.0;32000;Automatico;ene-21;Diesel;88 kW (120 CV)
I;smart;fortwo;5500.0;110000;Semiautomatico;mar-13;Diesel;40 kW (54 CV)
I;volvo;480;6850.0;123000;Manual;oct-94;Gasolina;90 kW (122 CV)
NL;volvo;v60;15650.0;106421;Automatico;may-13;Gasolina;110 kW (150 CV)
I;bmw;118;26900.0;27000;Automatico;nov-22;Gasolina;100 kW (136 CV)
B;ford;streetka;4490.0;87889;Manual;abr-03;Gasolina;70 kW (95 CV)
F;mercedes-benz;cla 200;38490.0;43125;Automatico;ago-23;Gasolina;120 kW (163 CV)
I;land rover;range rover sport;19990.0;;Automatico;feb-15;Diesel;183 kW (249 CV)
F;peugeot;rifter;23980.0;38277;Manual;mar-23;Diesel;96 kW (131 CV)
NL;peugeot;207;3450.0;180647;Manual;jun-11;Gasolina;71 kW (97 CV)
NL;citroen;c3;8950.0;148837;Manual;oct-17;Gasolina;60 kW (82 CV)
D;fiat;punto;3990.0;58000;Manual;jun-04;Gasolina;70 kW (95 CV)
I;fiat;500x;8900.0;195000;Automatico;jun-15;Diesel;103 kW (140 CV)
D;kia;ceed sw / cee'd sw;12899.0;81969;Manual;feb-19;Gasolina;73 kW (99 CV)
NL;volvo;s60;;247535;Automatico;feb-08;Gasolina;220 kW (299 CV)
I;renault;twingo;;;Manual;sep-09;Gasolina;43 kW (58 CV)
D;renault;kangoo;6999.0;191000;Manual;may-13;Diesel;55 kW (75 CV)
B;skoda;fabia;1900.0;123000;Manual;mar-04;Gasolina;74 kW (101 CV)
NL;bmw;x5;10900.0;274900;Automatico;mar-02;Gasolina;255 kW (347 CV)
A;renault;koleos;28600.0;59600;Automatico;mar-22;Diesel;135 kW (184 CV)
D;mercedes-benz;g 63 amg;373660.0;30;Automatico;0;Gasolina;515 kW (700 CV)
D;hyundai;i20;11190.0;41500;Manual;oct-20;Gasolina;62 kW (84 CV)
I;kia;sportage;14000.0;110000;Manual;sep-15;Diesel;135 kW (184 CV)
B;mini;cooper d clubman;10000.0;170000;Manual;ene-14;Diesel;82 kW (111 CV)
NL;oldsmobile;toronado;24950.0;125339;Automatico;feb-69;Gasolina;298 kW (405 CV)
NL;opel;mokka;25400.0;;Automatico;oct-23;Gasolina;96 kW (131 CV)
E;fiat;panda;7850.0;110000;Manual;feb-18;Gasolina;51 kW (69 CV)
I;mercedes-benz;gl 320;9000.0;213300;Semiautomatico;oct-06;Diesel;165 kW (224 CV)
A;audi;q4 e-tron;49500.0;14210;Automatico;may-22;Electrico;220 kW (299 CV)
NL;peugeot;partner;2945.0;198337;Manual;oct-98;Diesel;51 kW (69 CV)
I;alfa romeo;stelvio;44390.0;0;Automatico;0;Diesel;118 kW (160 CV)
D;opel;omega;1500.0;178000;Manual;sep-02;Gasolina;106 kW (144 CV)
I;honda;fr-v;3500.0;230000;Manual;jun-08;Gas licuado (GLP);103 kW (140 CV)
I;fiat;new panda;15970.0;1;Manual;oct-22;Gas licuado (GLP);51 kW (69 CV)
L;peugeot;2008;12200.0;36000;Manual;mar-17;Gasolina;60 kW (82 CV)
NL;land rover;range rover velar;97500.0;5000;Automatico;jun-24;Electro/Gasolina;297 kW (404 CV)
I;nissan;qashqai;9000.0;310000;Manual;mar-16;Diesel;81 kW (110 CV)
F;seat;leon;12900.0;0;0 Transmision;0;0 Tipo de combustible;0 kW (0 CV)
B;ford;ka/ka+;1500.0;107000;Manual;jul-06;Gasolina;51 kW (69 CV)
I;opel;corsa;2200.0;90000;Manual;jun-01;Gasolina;43 kW (58 CV)
I;audi;a3;9000.0;99900;Manual;abr-11;Gasolina;92 kW (125 CV)
I;fiat;panda;7900.0;56454;Manual;ene-05;Gasolina;44 kW (60 CV)
A;mazda;cx-5;34090.0;10;Manual;dic-24;Gasolina;121 kW (165 CV)
I;toyota;land cruiser;106900.0;0;Automatico;0;Diesel;151 kW (205 CV)
E;toyota;land cruiser;27600.0;;Manual;jul-03;Diesel;120 kW (163 CV)
D;volkswagen;golf;14990.0;96900;Manual;feb-18;Gasolina;92 kW (125 CV)
NL;seat;mii;3948.0;185782;Manual;sep-12;Gasolina;44 kW (60 CV)
D;volkswagen;passat variant;22950.0;60500;Manual;mar-20;Diesel;110 kW (150 CV)
I;audi;a3;39800.0;10;Automatico;sep-24;Electro/Gasolina;150 kW (204 CV)
I;ferrari;f8 tributo;328000.0;;Automatico;ago-22;Gasolina;530 kW (721 CV)
NL;mazda;cx-5;26940.0;95869;Automatico;dic-18;Gasolina;143 kW (194 CV)
F;hyundai;kona;34990.0;16800;Automatico;nov-23;Gasolina;77 kW (105 CV)
F;dacia;sandero;9799.0;22019;Manual;may-20;Gasolina;0 kW (0 CV)
I;porsche;911;59000.0;170000;Automatico;oct-10;Gasolina;283 kW (385 CV)
D;hyundai;ix35;8950.0;135600;Manual;mar-14;Gasolina;99 kW (135 CV)
I;bmw;420;14900.0;185000;Automatico;abr-14;Diesel;135 kW (184 CV)
F;mini;cooper cabrio;30990.0;6000;Manual;mar-23;Gasolina;100 kW (136 CV)
A;opel;astra;;65800;Manual;ene-22;Diesel;90 kW (122 CV)
NL;mg;4;31670.0;10;Automatico;ene-24;Electrico;150 kW (204 CV)
E;volkswagen;golf gti;25800.0;60424;Automatico;ene-19;Gasolina;180 kW (245 CV)
D;volkswagen;polo;14550.0;58000;Manual;nov-16;Gasolina;169 kW (230 CV)
D;ford;tourneo custom;52990.0;10;Manual;0;Diesel;110 kW (150 CV)
D;nissan;qashqai;24673.0;0;Manual;0;Gasolina;103 kW (140 CV)
NL;mercedes-benz;e 63 amg;79995.0;95680;Automatico;abr-17;Gasolina;451 kW (613 CV)
F;jaguar;xjs;17000.0;70500;Automatico;jul-90;Gasolina;205 kW (279 CV)
B;mg;b;14400.0;76000;Manual;feb-70;Gasolina;68 kW (92 CV)
I;volkswagen;passat alltrack;13900.0;;Semiautomatico;ene-16;Diesel;140 kW (190 CV)
B;bmw;325;9999.0;267463;Manual;abr-11;Diesel;150 kW (204 CV)
I;porsche;taycan;109900.0;100;Automatico;dic-23;Electrico;360 kW (489 CV)
I;ferrari;360;145000.0;65900;Manual;feb-02;Gasolina;294 kW (400 CV)
F;peugeot;2008;21499.0;;Automatico;abr-22;Electrico;0 kW (0 CV)
A;dacia;logan;6690.0;165000;Manual;dic-16;Gasolina;66 kW (90 CV)
I;mini;cooper d countryman;11000.0;98000;Semiautomatico;sep-14;Diesel;82 kW (111 CV)
F;ford;focus;19490.0;43585;Manual;ene-22;Otros;93 kW (126 CV)
E;ds automobiles;ds 4;8490.0;64069;Manual;oct-16;Gasolina;96 kW (131 CV)
F;land rover;range rover velar;70240.0;2500;Automatico;sep-23;Diesel;150 kW (204 CV)
D;porsche;panamera;61999.0;80500;Automatico;mar-19;Gasolina;243 kW (330 CV)
NL;kia;niro;31390.0;18951;Automatico;jun-24;Electro/Gasolina;104 kW (141 CV)
B;mercedes-benz;e 250;19000.0;101000;Manual;ene-15;Diesel;150 kW (204 CV)
D;hyundai;ix35;11000.0;91000;Automatico;abr-11;Gasolina;120 kW (163 CV)
D;ford;mondeo;5200.0;180000;Automatico;abr-11;Gasolina;149 kW (203 CV)
D;fiat;tipo;18980.0;1501;Manual;nov-24;Diesel;96 kW (131 CV)
D;opel;insignia;3599.0;160564;Manual;dic-12;Diesel;118 kW (160 CV)
D;opel;astra;7250.0;109000;Manual;sep-13;Gasolina;103 kW (140 CV)
NL;peugeot;208;19450.0;9167;Manual;jul-23;Gasolina;74 kW (101 CV)
E;mercedes-benz;vito;10000.0;;Manual;jun-12;Diesel;100 kW (136 CV)
D;ssangyong;tivoli;24490.0;0;Automatico;0;Gasolina;120 kW (163 CV)
A;seat;leon;18980.0;59181;Automatico;feb-21;Gasolina;81 kW (110 CV)
